apk_entry,sha256,maven_coordinate,aar_entry,aar_sha256
"lib/arm64-v8a/libxplat_wearable_xms_impl_services_warpstreamclient_warpstreamclientAndroid.so","fab793109f799517af7857f6328e0e39c5daad9925bdd9a3a22f9821b791fe05","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_xms_impl_services_warpstreamclient_warpstreamclientAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_xms_impl_session_sessionAndroid.so","a5faef36ea0dda0b35f4da682878f5c6494310ddd44e9ca5afdd1ece98f57177","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_xms_impl_session_sessionAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_xms_impl_utils_serializer_serializerAndroid.so","d7c698b355a21d228e68a19360d5b295e71f71e219cf9a2411741a9c22d11534","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_xms_impl_utils_serializer_serializerAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/armeabi-v7a/libairbridge_jni.so","a36e6132eceae15f49d4cc00baa7d9899d27b1c0570cd8d767001238a6531119","com.meta.wearable:mwdat-core:0.8.0","jni/armeabi-v7a/libairbridge_jni.so","f7ea3aedefbda4884c515ea5ad071a7adda0b05f991a2fffcfe548c333506f63"
"lib/armeabi-v7a/libairshield_light_mbed_jni.so","c29f1e7bdd4ae5868fd2173287425292ab38b4d8e1705c22776e73828cbceed8","com.meta.wearable:mwdat-core:0.8.0","jni/armeabi-v7a/libairshield_light_mbed_jni.so","f7ea3aedefbda4884c515ea5ad071a7adda0b05f991a2fffcfe548c333506f63"
"lib/armeabi-v7a/libandroidx.graphics.path.so","41399eba6fc2a60f6f14642375c1824f3cf25eb8fec7397d753730a3ceda3e2b","androidx.graphics:graphics-path:1.0.1","jni/armeabi-v7a/libandroidx.graphics.path.so","8ca4032b6d79b351f0b59ad4b580eddbb9423e1652f7c958830687f1eee2ec03"
"lib/armeabi-v7a/libc++_shared.so","84e7d99b7b6df960b37c28e43808cc5c2c62d1bb9449e27683fc53309dea5b6c","com.facebook.fbjni:fbjni:0.7.0","jni/armeabi-v7a/libc++_shared.so","7e319ae110ac5e5ef18904170aea5c3e753e915d196699d7fd39d36c8e1dfe36"
"lib/armeabi-v7a/libconnection_jni.so","8583feac378177de42eb4fb256c0eb71b5a3d9c86cd9b675ee79e20cde2d2d14","com.meta.wearable:mwdat-camera:0.8.0","jni/armeabi-v7a/libconnection_jni.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/armeabi-v7a/libdatastore_shared_counter.so","f51d0b6801896a20be66bd389a024f30be3284b757ac02377833d20e70b9c628","androidx.datastore:datastore-core-android:1.2.1","jni/armeabi-v7a/libdatastore_shared_counter.so","435edad7bcb1fbb1a2a46de7be4d6daf299479b3328ebf757ebdfe02810cbdd8"
"lib/armeabi-v7a/libdatax_jni_local.so","0e6708f0ce8a16a1447db868f4378e13cb6042dd15d38d67657c94bb8cc846f4","com.meta.wearable:mwdat-core:0.8.0","jni/armeabi-v7a/libdatax_jni_local.so","f7ea3aedefbda4884c515ea5ad071a7adda0b05f991a2fffcfe548c333506f63"
"lib/armeabi-v7a/libdouble-conversion.so","e8eb01ec23d6e7fd615eb4e2d3a9dd2d234d1a563207968e44c31a43cf434054","com.meta.wearable:mwdat-core:0.8.0","jni/armeabi-v7a/libdouble-conversion.so","f7ea3aedefbda4884c515ea5ad071a7adda0b05f991a2fffcfe548c333506f63"
"lib/armeabi-v7a/libfb.so","83eb6eceb89f0d4e177baaf5b3743aaf4cce239212862c9629f64e5f94972b81","com.meta.wearable:mwdat-core:0.8.0","jni/armeabi-v7a/libfb.so","f7ea3aedefbda4884c515ea5ad071a7adda0b05f991a2fffcfe548c333506f63"
"lib/armeabi-v7a/libfbjni.so","6739b4db111283fe0a86a3a5fdd80efe5d963355dd161b95ec179f01cc9685d5","com.facebook.fbjni:fbjni:0.7.0","jni/armeabi-v7a/libfbjni.so","7e319ae110ac5e5ef18904170aea5c3e753e915d196699d7fd39d36c8e1dfe36"
"lib/armeabi-v7a/libfbjni_kt.so","9ec8276952ac36c07ad78d5f0cec0f1955005651a075e82d7c2b40ec894d355b","com.meta.wearable:mwdat-core:0.8.0","jni/armeabi-v7a/libfbjni_kt.so","f7ea3aedefbda4884c515ea5ad071a7adda0b05f991a2fffcfe548c333506f63"
"lib/armeabi-v7a/libfbsofterror.so","182bbd6a5e8aa6945851789e91ae9f79222bdb63986afea9998d6bd4e3e5e3f7","com.meta.wearable:mwdat-core:0.8.0","jni/armeabi-v7a/libfbsofterror.so","f7ea3aedefbda4884c515ea5ad071a7adda0b05f991a2fffcfe548c333506f63"
"lib/armeabi-v7a/libfmt.so","2518b29b18486d13622879a8743158538d35e40d16f6855cd60ac75f86275625","com.meta.wearable:mwdat-core:0.8.0","jni/armeabi-v7a/libfmt.so","f7ea3aedefbda4884c515ea5ad071a7adda0b05f991a2fffcfe548c333506f63"
"lib/armeabi-v7a/libglog.so","af911c8ba282c70aef93960dbb48e67a18e40ac8902adfc53aee7df1c7b722a6","com.meta.wearable:mwdat-core:0.8.0","jni/armeabi-v7a/libglog.so","f7ea3aedefbda4884c515ea5ad071a7adda0b05f991a2fffcfe548c333506f63"
"lib/armeabi-v7a/libimage_processing_util_jni.so","e48e356bbe1902ae9a66178a4a0141c993b82ee9f70dde52ad83e4af3eca984f","androidx.camera:camera-core:1.4.1","jni/armeabi-v7a/libimage_processing_util_jni.so","6c77068806cf259bbaa7ed955935bf2cd16dc103feb32f7ae3d55823fc9fcfc7"
"lib/armeabi-v7a/libjingle_peerconnection_so.so","976ad84ff585eb7121ff7d800a172e60995f634d59a64a7f913e4dac8907b08e","io.github.webrtc-sdk:android:125.6422.07","jni/armeabi-v7a/libjingle_peerconnection_so.so","a0ae793a4539f0da6fc9b71806ace876e50b008c30c66fd2ec5eee38ee030474"
"lib/armeabi-v7a/libmanifest_jni.so","9e70a99e75c2ed24a1957b0bc7fc54b5e39f8052558136db3abe9e9f8a25b4bd","com.meta.wearable:mwdat-core:0.8.0","jni/armeabi-v7a/libmanifest_jni.so","f7ea3aedefbda4884c515ea5ad071a7adda0b05f991a2fffcfe548c333506f63"
